"filename", "language", "Java", "XML", "Markdown", "Python", "comment", "blank", "total"
"c:\Users\86135\Desktop\CT\projects\dev0.2\.idea\checkstyle-idea.xml", "XML", 0, -16, 0, 0, 0, 0, -16
"c:\Users\86135\Desktop\CT\projects\dev0.2\.idea\libraries\Mars_2021.xml", "XML", 0, -9, 0, 0, 0, 0, -9
"c:\Users\86135\Desktop\CT\projects\dev0.2\.idea\libraries\Mars_20211.xml", "XML", 0, -9, 0, 0, 0, 0, -9
"c:\Users\86135\Desktop\CT\projects\dev0.2\.idea\misc.xml", "XML", 0, -11, 0, 0, 0, 0, -11
"c:\Users\86135\Desktop\CT\projects\dev0.2\.idea\modules.xml", "XML", 0, -8, 0, 0, 0, 0, -8
"c:\Users\86135\Desktop\CT\projects\dev0.2\Compiler.java", "Java", -12, 0, 0, 0, 0, -4, -16
"c:\Users\86135\Desktop\CT\projects\dev0.2\Resourse\AutoCompileTest.py", "Python", 0, 0, 0, -49, -3, -3, -55
"c:\Users\86135\Desktop\CT\projects\dev0.2\Resourse\AutoFiltedPacker.py", "Python", 0, 0, 0, -31, 0, -5, -36
"c:\Users\86135\Desktop\CT\projects\dev0.2\Resourse\AutoMatchTwo.py", "Python", 0, 0, 0, -47, -3, -3, -53
"c:\Users\86135\Desktop\CT\projects\dev0.2\Resourse\AutoMidCompare.py", "Python", 0, 0, 0, -55, -6, -4, -65
"c:\Users\86135\Desktop\CT\projects\dev0.2\Resourse\AutoMipsCompare.py", "Python", 0, 0, 0, -77, -7, -4, -88
"c:\Users\86135\Desktop\CT\projects\dev0.2\Resourse\AutoRunJar.py", "Python", 0, 0, 0, -28, -1, -3, -32
"c:\Users\86135\Desktop\CT\projects\dev0.2\Resourse\AutoTestJar.py", "Python", 0, 0, 0, -40, -2, -3, -45
"c:\Users\86135\Desktop\CT\projects\dev0.2\Resourse\ImportStyleCheck.py", "Python", 0, 0, 0, -26, 0, -3, -29
"c:\Users\86135\Desktop\CT\projects\dev0.2\Resourse\config.xml", "XML", 0, -149, 0, 0, -10, -10, -169
"c:\Users\86135\Desktop\CT\projects\dev0.2\dev0.1.iml", "XML", 0, -22, 0, 0, 0, 0, -22
"c:\Users\86135\Desktop\CT\projects\dev0.2\dev0.2.iml", "XML", 0, -22, 0, 0, 0, 0, -22
"c:\Users\86135\Desktop\CT\projects\dev0.2\driver\CompilerDriver.java", "Java", -26, 0, 0, 0, -2, -6, -34
"c:\Users\86135\Desktop\CT\projects\dev0.2\driver\Config.java", "Java", -102, 0, 0, 0, -2, -17, -121
"c:\Users\86135\Desktop\CT\projects\dev0.2\driver\Output.java", "Java", -26, 0, 0, 0, 0, -9, -35
"c:\Users\86135\Desktop\CT\projects\dev0.2\frontend\Source.java", "Java", -51, 0, 0, 0, 0, -14, -65
"c:\Users\86135\Desktop\CT\projects\dev0.2\frontend\error\Error.java", "Java", -56, 0, 0, 0, 0, -15, -71
"c:\Users\86135\Desktop\CT\projects\dev0.2\frontend\error\ErrorBuffer.java", "Java", -21, 0, 0, 0, 0, -9, -30
"c:\Users\86135\Desktop\CT\projects\dev0.2\frontend\exceptions\FrontendBaseException.java", "Java", -9, 0, 0, 0, 0, -3, -12
"c:\Users\86135\Desktop\CT\projects\dev0.2\frontend\exceptions\TokenTypeNotFoundException.java", "Java", -6, 0, 0, 0, 0, -3, -9
