Date : 2022-10-23 16:46:28
Directory : c:\Users\86135\Desktop\CT\projects\dev0.3
Total : 169 files,  6579 codes, 257 comments, 860 blanks, all 7696 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |         78 |      2,742 |        116 |        597 |      3,455 |
| Python   |         35 |      1,609 |        101 |        133 |      1,843 |
| XML      |         48 |      1,363 |         40 |         40 |      1,443 |
| Markdown |          8 |        865 |          0 |         90 |        955 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |        169 |      6,579 |        257 |        860 |      7,696 |
| .idea                                                                                               |         12 |        229 |          0 |          0 |        229 |
| .idea\artifacts                                                                                     |          1 |          8 |          0 |          0 |          8 |
| .idea\libraries                                                                                     |          6 |         56 |          0 |          0 |         56 |
| Resourse                                                                                            |          9 |        512 |         33 |         41 |        586 |
| autotest                                                                                            |          1 |         65 |          4 |          6 |         75 |
| driver                                                                                              |          3 |        179 |          4 |         34 |        217 |
| frontend                                                                                            |         75 |      2,827 |        112 |        577 |      3,516 |
| frontend\error                                                                                      |          2 |         77 |          0 |         24 |        101 |
| frontend\exceptions                                                                                 |          2 |         18 |          0 |          7 |         25 |
| frontend\symbol                                                                                     |          4 |        149 |          0 |         40 |        189 |
| frontend\syntax                                                                                     |         58 |      1,945 |         85 |        408 |      2,438 |
| frontend\syntax\decl                                                                                |         10 |        327 |         11 |         62 |        400 |
| frontend\syntax\decl\ast                                                                            |          3 |        112 |          5 |         22 |        139 |
| frontend\syntax\decl\parse                                                                          |          7 |        215 |          6 |         40 |        261 |
| frontend\syntax\expr                                                                                |         22 |        633 |         26 |        154 |        813 |
| frontend\syntax\expr\ast                                                                            |          7 |        295 |         12 |         57 |        364 |
| frontend\syntax\expr\parse                                                                          |         15 |        338 |         14 |         97 |        449 |
| frontend\syntax\func                                                                                |          8 |        236 |         20 |         48 |        304 |
| frontend\syntax\func\ast                                                                            |          3 |        101 |         15 |         22 |        138 |
| frontend\syntax\func\parse                                                                          |          5 |        135 |          5 |         26 |        166 |
| frontend\syntax\stmt                                                                                |         12 |        474 |         15 |         76 |        565 |
| frontend\syntax\stmt\ast                                                                            |         10 |        240 |          1 |         57 |        298 |
| frontend\syntax\stmt\parser                                                                         |          2 |        234 |         14 |         19 |        267 |
| frontend\tokenize                                                                                   |          6 |        276 |         27 |         57 |        360 |
| out                                                                                                 |         63 |      2,596 |        104 |        175 |      2,875 |
| out\production                                                                                      |         63 |      2,596 |        104 |        175 |      2,875 |
| out\production\dev0.1                                                                               |         14 |        568 |         32 |         38 |        638 |
| out\production\dev0.1\.idea                                                                         |          4 |         44 |          0 |          0 |         44 |
| out\production\dev0.1\.idea\libraries                                                               |          1 |          9 |          0 |          0 |          9 |
| out\production\dev0.1\Resourse                                                                      |          9 |        502 |         32 |         38 |        572 |
| out\production\dev0.2                                                                               |         21 |        787 |         35 |         49 |        871 |
| out\production\dev0.2\.idea                                                                         |          7 |         67 |          0 |          0 |         67 |
| out\production\dev0.2\.idea\artifacts                                                               |          1 |          8 |          0 |          0 |          8 |
| out\production\dev0.2\.idea\libraries                                                               |          2 |         18 |          0 |          0 |         18 |
| out\production\dev0.2\Resourse                                                                      |          9 |        502 |         32 |         38 |        572 |
| out\production\dev0.2\autotest                                                                      |          1 |         47 |          3 |          3 |         53 |
| out\production\dev0.2\frontend                                                                      |          1 |        107 |          0 |          5 |        112 |
| out\production\dev0.3                                                                               |         28 |      1,241 |         37 |         88 |      1,366 |
| out\production\dev0.3\.idea                                                                         |         12 |        229 |          0 |          0 |        229 |
| out\production\dev0.3\.idea\artifacts                                                               |          1 |          8 |          0 |          0 |          8 |
| out\production\dev0.3\.idea\libraries                                                               |          6 |         56 |          0 |          0 |         56 |
| out\production\dev0.3\Resourse                                                                      |          9 |        512 |         33 |         41 |        586 |
| out\production\dev0.3\autotest                                                                      |          1 |         65 |          4 |          6 |         75 |
| out\production\dev0.3\frontend                                                                      |          2 |        311 |          0 |         27 |        338 |
| util                                                                                                |          1 |         35 |          0 |          9 |         44 |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                            | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\86135\Desktop\CT\projects\dev0.3\.idea\artifacts\dev0_3_jar.xml                            | XML      |          8 |          0 |          0 |          8 |
| c:\Users\86135\Desktop\CT\projects\dev0.3\.idea\checkstyle-idea.xml                                 | XML      |         16 |          0 |          0 |         16 |
| c:\Users\86135\Desktop\CT\projects\dev0.3\.idea\libraries\Compiler_21_dhy.xml                       | XML      |          9 |          0 |          0 |          9 |
| c:\Users\86135\Desktop\CT\projects\dev0.3\.idea\libraries\Mars_2021.xml                             | XML      |          9 |          0 |          0 |          9 |
